Designator,Mid X,Mid Y,Rotation,Layer
J1,134.0,-129.0,0.0,top
J9,195.25,-73.25,90.0,top
J14,205.0,-44.235,0.0,top
J2,177.694445,-138.65,0.0,top
J13,100.375,-89.765,180.0,top
J5,121.131112,-138.65,0.0,top
J15,176.75,-154.5,-90.0,top
J7,111.2,-58.15,-90.0,top
J17,200.75,-29.75,180.0,top
J11,111.2,-25.9,-90.0,top
J8,178.55,-116.5,90.0,top
J12,111.2,-100.5,-90.0,top
J6,178.55,-74.25,90.0,top
J3,158.84,-138.65,0.0,top
J19,175.25,-124.5,0.0,top
J10,195.5,-116.0,90.0,top
J18,200.2,-123.92,-90.0,top
J16,179.0,-30.0,180.0,top
J4,139.985556,-138.65,0.0,top
F1,194.5,-31.5,90.0,top
XA1,171.0825,-22.625,-90.0,bottom
